,date,PM2.5_24h,CO_24h,SO2,AQI,NO2,PM2.5,O3_24h,SO2_24h,CO,O3,NO2_24h,O3_8h_24h,PM10,O3_8h,PM10_24h
21,201610,85.33653815796792,1.1341837890565722,4.324168078342895,111.6192296373714,53.38823867233572,83.81430109960255,71.05949375980418,4.348788388408659,1.1245488745771095,23.65502153967761,54.15845782331998,29.874678401698343,107.122385235482,23.488190708299985,106.64980149656952
22,201611,96.80086896396678,1.7375995396511703,11.253712905452039,128.85131118378402,65.97462059185872,97.75303436800718,40.92206970934327,11.035986586883325,1.7644922883075056,16.809420276784408,65.348773520068,19.87060289750507,135.76338934902725,16.493930002666414,134.59470241634506
23,201612,126.68544355155466,2.4196824264700707,17.214995895040712,160.46031204783407,78.11067822578823,129.68087297381476,40.33517757499348,17.05197969434314,2.4446629402056823,17.1555720127149,76.94833456791504,21.199733005747827,160.88444381400834,17.100100916253364,153.72903897955095
24,201701,115.03139117516793,2.1528276968896667,17.520067490435466,137.36589585913515,61.68695372097739,111.47332311265008,55.59197308211667,17.56330619064342,2.1068807236199,29.835473342868664,63.489696761853416,33.49414410119501,143.21374131496717,28.634999287926135,146.4909413971997
25,201702,69.38241685096305,1.262323134293243,17.583293141037707,95.27917275386218,50.52033985036702,68.64983383916807,79.2267214066127,17.883683594485223,1.2596001781531674,43.80972111121567,50.687668317491685,48.22556475076855,85.7011881444706,41.84339768021834,83.25476544084368
26,201703,62.16914348605268,0.8445750722512645,10.834056731409465,90.74561339198436,47.213412969101945,62.169598303039756,102.56578055567361,10.839474248091008,0.8468282314732174,54.781234800081215,47.24759118180401,60.144411771997675,,52.02472646049085,89.65457034337383
27,201704,52.00247517444981,0.6474701361440491,6.971340945688772,88.37871669594493,45.79301721929437,52.610602766798415,116.51627555750744,6.902398349436394,0.6510241271409749,61.07195304494217,45.792733860342544,64.75597322866345,104.63254860310396,56.79621074879228,103.57950694400871
28,201705,58.47078238073713,0.6126402575523607,7.039402048342663,98.35302991987965,34.9167667301602,58.68642034319564,188.42194638058942,7.0187489648493075,0.6256472869446301,101.71901530069708,34.94814016262329,106.27048208239479,130.76747682887915,94.16395765745347,136.28796482412096
29,201706,41.74453185464641,0.7118547976209953,6.069382626605026,75.41755026926594,36.16867620789348,42.246281604868564,213.27221763493128,6.027136960478819,0.7150077977538548,115.49499022083583,36.584688656241305,122.19175808828143,76.63284658498883,108.23309526449286,78.11508306008686
30,201707,51.47907569062021,0.8210479848575922,2.9390324358408964,78.9826044835249,32.916384681821214,52.25050233211332,202.45520889621525,2.9267248345000807,0.8252222232341448,102.14682438279475,32.79647761172131,111.38007416084643,75.09075815738525,96.71521595774755,75.67600748636596
